VARIABLE NAME,LABEL,,,,,,,,,
S_ID,ID,,,,,,,,,
Complete_Home_T30,Complete_Home_T30: 30M Home Visit Complete,,,,,,,,,
TC_AgeMonths_Home_T30,TC_AgeMonths_Home_T30: Childs chronological age (months) at 30M home visit,,,,,,,,,
PC_matage_home_T30,PC_matage_home_T30: Maternal age (years) at 30M home visit,,,,,,,,,
TC_Female,TC_Female: Child is female according to Access,,,,,,,,,
pc_latino,pc_latino: Maternal latino (first RedCap appearance),,,,,,,,,
pc_race,pc_race: Maternal race (first RedCap appearance),,,,,,,,,
pc_biracial,pc_biracial: Maternal biracial (first RedCap appearance),,,,,,,,,
pc_addrace,pc_addrace:  Maternal additional race (first RedCap appearance),,,,,,,,,
pc_race_black,pc_race_black: Maternal Black race (first RedCap appearance),,,,,,,,,
pc_ed,pc_ed: Maternal education (FIRST RedCap appearance),,,,,,,,,
last_pc_ed,last_pc_ed: Maternal education (LAST RedCap appearance),,,,,,,,,
pc_race_other,pc_race_other: Maternal other race (first RedCap appearance),,,,,,,,,
tc_latino,tc_latino: Child latino (first RedCap appearance),,,,,,,,,
tc_race,tc_race: Child race (first RedCap appearance),,,,,,,,,
tc_biracial,tc_biracial: Child biracial (first RedCap appearance),,,,,,,,,
tc_addrace,tc_addrace: Child additional race (first RedCap appearance),,,,,,,,,
tc_race_black,tc_race_black: Child Black race (first RedCap appearance),,,,,,,,,
tc_race_other,tc_race_other: Child race other (first RedCap appearance),,,,,,,,,
bwb_cwret_T30,Silicone Band: Was child wristband returned for this time point?,,,,,,,,,
bwb_caret_T30,Silicone Band: Was child ankle band returned for this time point?,,,,,,,,,
bwb_pwret_T30,Silicone Band: Was adult wristband returned for this time point?,,,,,,,,,
bwb_diaryret_T30,Silicone Band: Was band diary returned for this time point?,,,,,,,,,
bwb_cwhrsweek_T30,Child Wristband: Number of hours worn across full week,,,,,,,,,
bwb_cwhrsweekday_T30,Child Wristband- Total hours in week during day,,,,,,,,,
bwb_cwhrsweeknite_T30,Child Wristband- Total hours in week over night,,,,,,,,,
bwb_cahrsweek_T30,Child Ankle Band: Number of hours worn across full week,,,,,,,,,
bwb_cahrsweekday_T30,Child Ankle Band- Total hours in week during day,,,,,,,,,
bwb_cahrsweeknite_T30,Child Ankle Band- Total hours in week over night,,,,,,,,,
bwb_pwhrsweek_T30,Parent Wristband: Number of hours worn across full week,,,,,,,,,
bwb_pwhrsweekday_T30,Parent Wristband- Total hours in week during day,,,,,,,,,
bwb_pwhrsweeknite_T30,Parent Wristband- Total hours in week over night,,,,,,,,,
income2needs_T30,Income to needs ratio for household,,,,,,,,,
ccare1_T30,"Childcare Q1. Typical week, how many places does child receive care outside of self and live-in partner?",,,,,,,,,
ECBQ_NEGAF_T30,ECBQ: Negative Affect,,,,,,,,,
ECBQ_SURGE_T30,ECBQ: Surgency,,,,,,,,,
ECBQ_EFFCO_T30,ECBQ: Effortful Control,,,,,,,,,
ECBQ_dis_T30,ECBQ: Discomfort Short Scale,,,,,,,,,
PAS_AVG_T30,PAS: Mean of All Items (Total Anxiety),,,,,,,,,
BIQ_Soc_T30,"BIQ: Social Subscale (adults, peers, performance)",,,,,,,,,
BIQ_Nov_T30,"BIQ: Novelty Subscale (separation, new, physical challenge)",,,,,,,,,
BIQ_Tot_T30,BIQ: Behavioral Inhibition Total,,,,,,,,,
cdc_disany_T30,CDC: Does child have any suspected or identified dissabilities?,,,,,,,,,
MCDI3_Use_T30,MCDI3. Using Language Raw Score (0-12),,,,,,,,,
MCDI3_All_T30,MCDI3. Mean of all 124 items,,,,,,,,,
PSI_Mn_T30,PSI- SF: Mean score across all items,,,,,,,,,
PSI_DC_T30,PSI- SF: Difficult child score (mean),,,,,,,,,
bwb_day1_cwsleeves_T30,Child Wristband 1: Child wore long sleeves during day,,,,,,,,,
bwb_day2_cwsleeves_T30,Child Wristband 2: Child wore long sleeves during day,,,,,,,,,
bwb_day3_cwsleeves_T30,Child Wristband 3: Child wore long sleeves during day,,,,,,,,,
bwb_day4_cwsleeves_T30,Child Wristband 4: Child wore long sleeves during day,,,,,,,,,
bwb_day5_cwsleeves_T30,Child Wristband 5: Child wore long sleeves during day,,,,,,,,,
bwb_day6_cwsleeves_T30,Child Wristband 6: Child wore long sleeves during day,,,,,,,,,
bwb_day7_cwsleeves_T30,Child Wristband 7: Child wore long sleeves during day,,,,,,,,,
bwb_day1_capants_T30,Child Ankle Band 1: Child wore long pants during day,,,,,,,,,
bwb_day2_capants_T30,Child Ankle Band 2: Child wore long pants during day,,,,,,,,,
bwb_day3_capants_T30,Child Ankle Band 3: Child wore long pants during day,,,,,,,,,
bwb_day4_capants_T30,Child Ankle Band 4: Child wore long pants during day,,,,,,,,,
bwb_day5_capants_T30,Child Ankle Band 5: Child wore long pants during day,,,,,,,,,
bwb_day6_capants_T30,Child Ankle Band 6: Child wore long pants during day,,,,,,,,,
bwb_day7_capants_T30,Child Ankle Band 7: Child wore long pants during day,,,,,,,,,
bwb_cwhrsdaytime1_T30,Child Wristband 1: Hours worn during day,,,,,,,,,
bwb_cwhrsdaytime2_T30,Child Wristband 2: Hours worn during day,,,,,,,,,
bwb_cwhrsdaytime3_T30,Child Wristband 3: Hours worn during day,,,,,,,,,
bwb_cwhrsdaytime4_T30,Child Wristband 4: Hours worn during day,,,,,,,,,
bwb_cwhrsdaytime5_T30,Child Wristband 5: Hours worn during day,,,,,,,,,
bwb_cwhrsdaytime6_T30,Child Wristband 6: Hours worn during day,,,,,,,,,
bwb_cwhrsdaytime7_T30,Child Wristband 7: Hours worn during day,,,,,,,,,
bwb_cwhrsnitetime1_T30,Child Wristband 1: Hours worn over night,,,,,,,,,
bwb_cwhrsnitetime2_T30,Child Wristband 2: Hours worn over night,,,,,,,,,
bwb_cwhrsnitetime3_T30,Child Wristband 3: Hours worn over night,,,,,,,,,
bwb_cwhrsnitetime4_T30,Child Wristband 4: Hours worn over night,,,,,,,,,
bwb_cwhrsnitetime5_T30,Child Wristband 5: Hours worn over night,,,,,,,,,
bwb_cwhrsnitetime6_T30,Child Wristband 6: Hours worn over night,,,,,,,,,
bwb_cwhrsnitetime7_T30,Child Wristband 7: Hours worn over night,,,,,,,,,
bwb_cahrsdaytime1_T30,Child Ankle Band 1: Hours worn during day,,,,,,,,,
bwb_cahrsdaytime2_T30,Child Ankle Band 2: Hours worn during day,,,,,,,,,
bwb_cahrsdaytime3_T30,Child Ankle Band 3: Hours worn during day,,,,,,,,,
bwb_cahrsdaytime4_T30,Child Ankle Band 4: Hours worn during day,,,,,,,,,
bwb_cahrsdaytime5_T30,Child Ankle Band 5: Hours worn during day,,,,,,,,,
bwb_cahrsdaytime6_T30,Child Ankle Band 6: Hours worn during day,,,,,,,,,
bwb_cahrsdaytime7_T30,Child Ankle Band 7: Hours worn during day,,,,,,,,,
bwb_cahrsnitetime1_T30,Child Ankle Band 1: Hours worn over night,,,,,,,,,
bwb_cahrsnitetime2_T30,Child Ankle Band 2: Hours worn over night,,,,,,,,,
bwb_cahrsnitetime3_T30,Child Ankle Band 3: Hours worn over night,,,,,,,,,
bwb_cahrsnitetime4_T30,Child Ankle Band 4: Hours worn over night,,,,,,,,,
bwb_cahrsnitetime5_T30,Child Ankle Band 5: Hours worn over night,,,,,,,,,
bwb_cahrsnitetime6_T30,Child Ankle Band 6: Hours worn over night,,,,,,,,,
bwb_cahrsnitetime7_T30,Child Ankle Band 7: Hours worn over night,,,,,,,,,
bwb_pwhrsday1_T30,Parent Wristband 1: Total hours worn,,,,,,,,,
bwb_pwhrsdaytime1_T30,Parent Wristband 1: Hours worn during day,,,,,,,,,
bwb_pwhrsday1_T30,Parent Wristband 2: Total hours worn,,,,,,,,,
bwb_pwhrsdaytime1_T30,Parent Wristband 2: Hours worn during day,,,,,,,,,
bwb_pwhrsday1_T30,Parent Wristband 3: Total hours worn,,,,,,,,,
bwb_pwhrsdaytime1_T30,Parent Wristband 3: Hours worn during day,,,,,,,,,
bwb_pwhrsday1_T30,Parent Wristband 4: Total hours worn,,,,,,,,,
bwb_pwhrsdaytime1_T30,Parent Wristband 4: Hours worn during day,,,,,,,,,
bwb_pwhrsday1_T30,Parent Wristband 5: Total hours worn,,,,,,,,,
bwb_pwhrsdaytime1_T30,Parent Wristband 5: Hours worn during day,,,,,,,,,
bwb_pwhrsday1_T30,Parent Wristband 6: Total hours worn,,,,,,,,,
bwb_pwhrsdaytime1_T30,Parent Wristband 6: Hours worn during day,,,,,,,,,
bwb_pwhrsday1_T30,Parent Wristband 7: Total hours worn,,,,,,,,,
bwb_pwhrsdaytime1_T30,Parent Wristband 7: Hours worn during day,,,,,,,,,
bwb_pwhrsnitetime1_T30,Parent Wristband 1: Hours worn over night,,,,,,,,,
bwb_pwhrsnitetime2_T30,Parent Wristband 2: Hours worn over night,,,,,,,,,
bwb_pwhrsnitetime3_T30,Parent Wristband 3: Hours worn over night,,,,,,,,,
bwb_pwhrsnitetime4_T30,Parent Wristband 4: Hours worn over night,,,,,,,,,
bwb_pwhrsnitetime5_T30,Parent Wristband 5: Hours worn over night,,,,,,,,,
bwb_pwhrsnitetime6_T30,Parent Wristband 6: Hours worn over night,,,,,,,,,
bwb_pwhrsnitetime7_T30,Parent Wristband 7: Hours worn over night,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,